# optionality	errorType	iteratedOperation	comparisonOperator	label	xsl	referenceValue	doc Reference	comments
R2	ERROR	0	NOTNULL	author	Classification[@classificationScheme='urn:uuid:93606bcf-9494-43ec-9b4e-a7748d1a838d']/Slot[@name='authorPerson']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.3	"If supplied, MUST indicate the clinician who is requesting the referral. /ClinicalDocument/Author"
R	ERROR	0	NOTNULL	classCode.value	Classification[@classificationScheme='urn:uuid:41a5887f-8865-4c09-adf7-e362475b143a']/@nodeRepresentation	NA	PCC 360X 3:3.55.4.1.2.1.3	"Identifies the specific document type, in this case an HL7 V2 Order. /ClinicalDocument/code/@code"
R	ERROR	0	NOTNULL	classCode.codingScheme	Classification[@classificationScheme='urn:uuid:41a5887f-8865-4c09-adf7-e362475b143a']/Slot[@name='codingScheme']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.3	"Identifies the specific document type, in this case an HL7 V2 Order. /ClinicalDocument/code/@code"
R2	WARNING	0	NOTNULL	confidentialityCode.value	Classification[@classificationScheme='urn:uuid:f4f85eac-e6cb-4883-b524-f2705394840f']/@nodeRepresentation	NA	PCC 360X 3:3.55.4.1.2.1.3	"Identifies the confidentiality defined for the order. Implementations SHOULD NOT use codes that reveal the specific trigger causes of confidentiality (e.g., ETH, HIV, PSY, SDV). /ClinicalDocument/confidentialityCode/@code. Implementations SHOULD constrain to values that do not reflect the cause of confidentiality, such as (V, R, U)"
R2	WARNING	0	NOTNULL	confidentialityCode.codingScheme	Classification[@classificationScheme='urn:uuid:f4f85eac-e6cb-4883-b524-f2705394840f']/Slot[@name='codingScheme']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.3	"Identifies the confidentiality defined for the order. Implementations SHOULD NOT use codes that reveal the specific trigger causes of confidentiality (e.g., ETH, HIV, PSY, SDV). /ClinicalDocument/confidentialityCode/@code. Implementations SHOULD constrain to values that do not reflect the cause of confidentiality, such as (V, R, U)"
R2	WARNING	0	NOTNULL	creationTime	Slot[@name='creationTime']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.3	Defines the creation time of the order message (as opposed to the order itself). Date/Time of Message in MSH-7. In the metadata the timestamp shall be in UTC time.
R	ERROR	0	NOTNULL	entryUUID	"""@id"""	NA	PCC 360X 3:3.55.4.1.2.1.3	The identifier used for referencing the Document Entry object within the metadata.
R	WARNING	0	WARNING	formatCode.value	Classification[@classificationScheme='urn:uuid:a09d5840-386c-46f2-b5ad-9c3699a4309d']/@nodeRepresentation	urn:ihe:pcc:xds-ms:2007	PCC 360X 3:3.55.4.1.2.1.3	"One of the next two steps will produce an error. If both steps produce an error, that is an actual problem."
R	ERROR	0	EQ	formatCode.value	Classification[@classificationScheme='urn:uuid:a09d5840-386c-46f2-b5ad-9c3699a4309d']/@nodeRepresentation	urn:ihe:pcc:xds-ms:2007	PCC 360X 3:3.55.4.1.2.1.3	The specific format for the message. The format code defined for the specific CDA document template: urn:ihe:pcc:xds-ms:2007 or urn:hl7-org:sdwg:ccda-structuredBody:2.1
R	ERROR	0	EQ	formatCode.value	Classification[@classificationScheme='urn:uuid:a09d5840-386c-46f2-b5ad-9c3699a4309d']/@nodeRepresentation	urn:hl7-org:sdwg:ccda-structuredBody:2.1	PCC 360X 3:3.55.4.1.2.1.3	The specific format for the message. The format code defined for the specific CDA document template: urn:ihe:pcc:xds-ms:2007 or urn:hl7-org:sdwg:ccda-structuredBody:2.1
R	ERROR	0	EQ	formatCode.codingScheme	Classification[@classificationScheme='urn:uuid:a09d5840-386c-46f2-b5ad-9c3699a4309d']/Slot[@name='codingScheme']/ValueList/Value	1.3.6.1.4.1.19376.1.2.3	PCC 360X 3:3.55.4.1.2.1.3	The specific format for the message. The format code defined for the specific CDA document template: urn:ihe:pcc:xds-ms:2007 or urn:hl7-org:sdwg:ccda-structuredBody:2.1
R	ERROR	0	NOTNULL	hash	Slot[@name='hash']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.3	SHA-1 hash of the content
R2	WARNING	0	NOTNULL	healthcareFacilityTypeCode.value	Classification[@classificationScheme='urn:uuid:f33fb8ac-18af-42cc-ae0e-ed0b0bdb91e1']/@nodeRepresentation	NA	PCC 360X 3:3.55.4.1.2.1.3	"See also practice setting type. This code represents the type of organizational setting of the clinical encounter during which the documented act occurred. Note that in context of 360X, this is the facility type of the Referral Request Initiator."
R2	WARNING	0	NOTNULL	healthcareFacilityTypeCode.codingScheme	Classification[@classificationScheme='urn:uuid:f33fb8ac-18af-42cc-ae0e-ed0b0bdb91e1']/Slot[@name='codingScheme']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.3	"See also practice setting type. This code represents the type of organizational setting of the clinical encounter during which the documented act occurred. Note that in context of 360X, this is the facility type of the Referral Request Initiator."
R2	WARNING	0	NOTNULL	languageCode	Slot[@name='languageCode']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.3	Specifies the language of the document (order / referral request). Principal Language of Message in MSH-19.
R	ERROR	0	EQ	mimeType	"""@mimeType"""	text/xml	PCC 360X 3:3.55.4.1.2.1.3	The MIME type of the document. Text/xml
#								
R2	WARNING	0	NOTNULL	patientId	./ExternalIdentifier[@identificationScheme='urn:uuid:58a6f841-87b3-4a3e-92fd-a8ffeff98427']/@value	NA	PCC 360X 3:3.55.4.1.2.1.3	"The patient ID known to the Referral Recipient. How the Referral Initiator obtains this information is out of scope for this profile. This value, if present, must be the same for the Submission Set, and the other Document entries See PCC TF-1: X.1.3.1. PID-3"
R2	WARNING	0	NOTNULL	practiceSettingCode.value	Classification[@classificationScheme='urn:uuid:cccf5598-8b07-4b77-a05e-ae952c785ead']/@nodeRepresentation		PCC 360X 3:3.55.4.1.2.1.3	"Identifies the setting that created the order at a high granularity e.g., Cardiology, Family Practice. Should not create ambiguity as compared to healthcareFacilityTypeCode. May be derived from / mapped to the information in ORC-21 through 24."
R2	WARNING	0	NOTNULL	practiceSettingCode.codingScheme	Classification[@classificationScheme='urn:uuid:cccf5598-8b07-4b77-a05e-ae952c785ead']/Slot[@name='codingScheme']/ValueList/Value		PCC 360X 3:3.55.4.1.2.1.3	"Identifies the setting that created the order at a high granularity e.g., Cardiology, Family Practice. Should not create ambiguity as compared to healthcareFacilityTypeCode. May be derived from / mapped to the information in ORC-21 through 24."
R	ERROR	0	NOTNULL	size	Slot[@name='size']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.3	Size in bytes of the message as it exists in the file system when the contents of ZIP package are extracted
R2	WARNING	0	NOTNULL	sourcePatientId	Slot[@name='sourcePatientId']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.3	The sourcePatientId is the ID as known by the Referral Initiator. See PCC TF-1: X.1.3.1. PID-3.
R2	WARNING	0	WARNING	sourcePatientInfo	Slot[@name='sourcePatientInfo']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.3	We do not yet have this case covered
R	ERROR	0	NOTNULL	typeCode.value	Classification[@classificationScheme='urn:uuid:f0306f51-975f-434e-a61c-c59651d33983']/@nodeRepresentation	NA	PCC 360X 3:3.55.4.1.2.1.3	Further refines classCode; in this case it is the same as the CDA document code
