# optionality	errorType	iteratedOperation	comparisonOperator	label	xsl	referenceValue	doc Reference	comments
R2	ERROR	0	NOTNULL	author	Classification[@classificationScheme='urn:uuid:93606bcf-9494-43ec-9b4e-a7748d1a838d']/Slot[@name='authorPerson']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.2	"If supplied, MUST indicate the clinician who is requesting the referral. Ordering Provider in ORC-12."
R	ERROR	0	EQ	classCode.value	Classification[@classificationScheme='urn:uuid:41a5887f-8865-4c09-adf7-e362475b143a']/@nodeRepresentation	OMG	PCC 360X 3:3.55.4.1.2.1.2	"Identifies the specific document type, in this case an HL7 V2 Order. Message Type in MSH-9.1; value: OMG"
R	ERROR	0	EQ	classCode.codingScheme	Classification[@classificationScheme='urn:uuid:41a5887f-8865-4c09-adf7-e362475b143a']/Slot[@name='codingScheme']/ValueList/Value	2.16.840.1.113883.18.30	PCC 360X 3:3.55.4.1.2.1.2	"Identifies the specific document type, in this case an HL7 V2 Order. Message Type in MSH-9.1; coding scheme: 2.16.840.1.113883.18.30"
R2	WARNING	0	NOTNULL	confidentialityCode.value	Classification[@classificationScheme='urn:uuid:f4f85eac-e6cb-4883-b524-f2705394840f']/@nodeRepresentation	NA	PCC 360X 3:3.55.4.1.2.1.2	"Identifies the confidentiality defined for the order. Implementations SHOULD NOT use codes that reveal the specific trigger causes of confidentiality (e.g., ETH, HIV, PSY, SDV). Confidentiality Code in ORC-28 Implementations SHOULD constrain to values that do not reflect the cause of confidentiality such as: V Very restricted R Restricted U Usual control"
R2	WARNING	0	NOTNULL	confidentialityCode.codingScheme	Classification[@classificationScheme='urn:uuid:f4f85eac-e6cb-4883-b524-f2705394840f']/Slot[@name='codingScheme']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.2	"Identifies the confidentiality defined for the order. Implementations SHOULD NOT use codes that reveal the specific trigger causes of confidentiality (e.g., ETH, HIV, PSY, SDV). Confidentiality Code in ORC-28 Implementations SHOULD constrain to values that do not reflect the cause of confidentiality such as: V Very restricted R Restricted U Usual control"
R2	WARNING	0	NOTNULL	creationTime	Slot[@name='creationTime']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.2	Defines the creation time of the order message (as opposed to the order itself). Date/Time of Message in MSH-7. In the metadata the timestamp shall be in UTC time.
R	ERROR	0	NOTNULL	entryUUID	"""@id"""	NA	PCC 360X 3:3.55.4.1.2.1.2	The identifier used for referencing the Document Entry object within the metadata.
R	ERROR	0	EQ	formatCode.value	Classification[@classificationScheme='urn:uuid:a09d5840-386c-46f2-b5ad-9c3699a4309d']/@nodeRepresentation	urn:ihe:pcc:360x:hl7:OMG:O19:2017	PCC 360X 3:3.55.4.1.2.1.2	The specific format for the message. Based on MSH-9.1 and MSH-9.2; value: urn:ihe:pcc:360x:hl7:OMG:O19:2017
R	ERROR	0	EQ	formatCode.codingScheme	Classification[@classificationScheme='urn:uuid:a09d5840-386c-46f2-b5ad-9c3699a4309d']/Slot[@name='codingScheme']/ValueList/Value	1.3.6.1.4.1.19376.1.2.3	PCC 360X 3:3.55.4.1.2.1.2	The specific format for the message. Based on MSH-9.1 and MSH-9.2; coding scheme: 1.3.6.1.4.1.19376.1.2.3
R	ERROR	0	NOTNULL	hash	Slot[@name='hash']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.2	SHA-1 hash of the content
R2	WARNING	0	NOTNULL	healthcareFacilityTypeCode.value	Classification[@classificationScheme='urn:uuid:f33fb8ac-18af-42cc-ae0e-ed0b0bdb91e1']/@nodeRepresentation	NA	PCC 360X 3:3.55.4.1.2.1.2	"See also practice setting type. This code represents the type of organizational setting of the clinical encounter during which the documented act occurred. Note that in context of 360X, this is the facility type of the Referral Request Initiator."
R2	WARNING	0	NOTNULL	healthcareFacilityTypeCode.codingScheme	Classification[@classificationScheme='urn:uuid:f33fb8ac-18af-42cc-ae0e-ed0b0bdb91e1']/Slot[@name='codingScheme']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.2	"See also practice setting type. This code represents the type of organizational setting of the clinical encounter during which the documented act occurred. Note that in context of 360X, this is the facility type of the Referral Request Initiator."
R2	WARNING	0	NOTNULL	languageCode	Slot[@name='languageCode']/ValueList/Value	NA	PCC 360X 3:3.55.4.1.2.1.2	Specifies the language of the document (order / referral request). Principal Language of Message in MSH-19.
R	ERROR	0	EQ	mimeType	"""@mimeType"""	x-application/hl7-v2+er7	PCC 360X 3:3.55.4.1.2.1.2	"The MIME type of the message, indicating that it is plain text (ASCII or utf-8), formatted according to the HL7 V2 rules."
R2	WARNING	0	NOTNULL	patientId	./ExternalIdentifier[@identificationScheme='urn:uuid:58a6f841-87b3-4a3e-92fd-a8ffeff98427']/@value	NA	PCC 360X 3:3.55.4.1.2.1.2	"The patient ID known to the Referral Recipient. How the Referral Initiator obtains this information is out of scope for this profile. This value, if present, must be the same for the Submission Set, and the other Document entries See PCC TF-1: X.1.3.1. PID-3"
