# optionality	errorType	iteratedOperation	comparisonOperator	label	initial	initialSelector	initialMimeType	initialXPath	derived	derivedSelector	derivedMimeType	derivedXPath	doc Reference	comments	hl7 v2 xsl	doc entry xsl	referenceValue
R2	WARNING	0	EQ	ORC-12 -> documentEntry.author	$OUTPUT/request-extract	document	x-application/hl7-v2+er7	ORC/field[12]	$OUTPUT/request-extract	documentEntry	x-application/hl7-v2+er7	Classification[@classificationScheme='urn:uuid:93606bcf-9494-43ec-9b4e-a7748d1a838d']/Slot[@name='authorPerson']/ValueList/Value	PCC 360X 3:3.55.4.1.2.1.2	"If supplied, MUST indicate the clinician who is requesting the referral. Ordering Provider in ORC-12."			
R	ERROR	0	EQ	MSH.9.1 -> documentEntry.classCode.value	$OUTPUT/request-extract	document	x-application/hl7-v2+er7	"substring(MSH/field[7],1,3)"	$OUTPUT/request-extract	documentEntry	x-application/hl7-v2+er7	Classification[@classificationScheme='urn:uuid:41a5887f-8865-4c09-adf7-e362475b143a']/@nodeRepresentation	PCC 360X 3:3.55.4.1.2.1.2	"Identifies the specific document type, in this case an HL7 V2 Order."			OMG
#R2				ORC.28 -> documentEntry.confidentialityCode													
R2	WARNING	0	EQ	MSH.7 -> documentEntry.creationTime	$OUTPUT/request-extract	document	x-application/hl7-v2+er7	MSH/field[5]	$OUTPUT/request-extract	documentEntry	x-application/hl7-v2+er7	Slot[@name='creationTime']/ValueList/Value	PCC 360X 3:3.55.4.1.2.1.2	Defines the creation time of the order message (as opposed to the order itself). Date/Time of Message in MSH-7. In the metadata the timestamp shall be in UTC time.	MSH/field[5]	Slot[@name='creationTime']/ValueList/Value	NA
#				entryUUID													
#				formatCode													
#				hash													
#				healthcareFacilityTypeCode													
#				languageCode													
#				mimeType													
#				patientId													
#				practiceSettingCode													
#				size													
#				sourcePatientId													
#				sourcePatientInfo													
#				typeCode													
#				uniqueId													
#				URI													
